# source: U.S. Census Bureau Schedule D (distcode.html), fetched 2026-09-07
# https://www.census.gov/foreign-trade/schedules/d/distcode.html
# Every port-of-entry entry in the published list (district header rows excluded).
regime,kind,code,name,state_province,country,parent_code
ACE,port_of_entry,2004,BATON ROUGE,LA,US,
ACE,port_of_entry,2006,MEMPHIS,TN,US,
ACE,port_of_entry,2007,NASHVILLE,TN,US,
ACE,port_of_entry,2008,CHATTANOOGA,TN,US,
ACE,port_of_entry,2010,GRAMERCY,LA,US,
ACE,port_of_entry,2011,GREENVILLE,MS,US,
ACE,port_of_entry,2015,VICKSBURG,MS,US,
ACE,port_of_entry,2016,KNOXVILLE,TN,US,
ACE,port_of_entry,2017,LAKE CHARLES,LA,US,
ACE,port_of_entry,2018,SHREVEPORT/BOSSIER CITY,LA,US,
ACE,port_of_entry,2027,TRI-CITIES AIRPORT,TN,US,
ACE,port_of_entry,2095,"FEDEX, MEMPHIS",TN,US,
ACE,port_of_entry,2101,PORT ARTHUR,TX,US,
ACE,port_of_entry,2102,SABINE,TX,US,
ACE,port_of_entry,2103,ORANGE,TX,US,
ACE,port_of_entry,2104,BEAUMONT,TX,US,
ACE,port_of_entry,2301,BROWNSVILLE,TX,US,
ACE,port_of_entry,2302,DEL RIO,TX,US,
ACE,port_of_entry,2303,EAGLE PASS,TX,US,
ACE,port_of_entry,2304,LAREDO,TX,US,
ACE,port_of_entry,2305,"HIDALGO, PHARR",TX,US,
ACE,port_of_entry,2307,RIO GRANDE CITY,TX,US,
ACE,port_of_entry,2309,PROGRESO,TX,US,
ACE,port_of_entry,2310,ROMA,TX,US,
ACE,port_of_entry,2383,"VALLEY INTL AIRPORT, HARLINGEN",TX,US,
ACE,port_of_entry,2401,YSLETA,TX,US,
ACE,port_of_entry,2402,EL PASO,TX,US,
ACE,port_of_entry,2403,PRESIDIO,TX,US,
ACE,port_of_entry,2404,FABENS,TX,US,
ACE,port_of_entry,2406,COLUMBUS,NM,US,
ACE,port_of_entry,2407,ALBUQUERQUE,NM,US,
ACE,port_of_entry,2408,SANTA TERESA,NM,US,
ACE,port_of_entry,2481,SANTA TERESA AIRPORT,NM,US,
ACE,port_of_entry,2501,SAN DIEGO,CA,US,
ACE,port_of_entry,2502,ANDRADE,CA,US,
ACE,port_of_entry,2503,CALEXICO,CA,US,
ACE,port_of_entry,2504,SAN YSIDRO,,US,
ACE,port_of_entry,2505,TECATE,CA,US,
ACE,port_of_entry,2506,OTAY MESA,,US,
ACE,port_of_entry,2507,CALEXICO-EAST,,US,
ACE,port_of_entry,2601,DOUGLAS,AZ,US,
ACE,port_of_entry,2602,LUKEVILLE,AZ,US,
ACE,port_of_entry,2603,NACO,AZ,US,
ACE,port_of_entry,2604,NOGALES,AZ,US,
ACE,port_of_entry,2605,PHOENIX,AZ,US,
ACE,port_of_entry,2606,SASABE,AZ,US,
ACE,port_of_entry,2608,SAN LUIS,AZ,US,
ACE,port_of_entry,2609,TUCSON,AZ,US,
ACE,port_of_entry,2704,LOS ANGELES,CA,US,
ACE,port_of_entry,2709,LONG BEACH,CA,US,
ACE,port_of_entry,2712,VENTURA,CA,US,
ACE,port_of_entry,2713,PORT HUENEME,CA,US,
ACE,port_of_entry,2715,CAPITAN,CA,US,
ACE,port_of_entry,2719,MORRO BAY,CA,US,
ACE,port_of_entry,2720,LOS ANGELES INTL AIRPORT,CA,US,
ACE,port_of_entry,2721,ONTARIO INTL AIRPORT,CA,US,
ACE,port_of_entry,2722,LAS VEGAS,NV,US,
